Close,High,Open,Low
228.642414751973,233.10107344640772,229.74272737296184,226.22605118658154
226.94480745237774,231.3841880483878,227.26145352216872,224.0503478796454
227.13116883842724,230.89995857697653,226.69411018799224,224.01645474424672
226.81628331099637,230.55981679502784,226.79380322172707,224.02964606362656
225.78330243956498,229.66234054939048,227.01504318290745,223.44410382193553
225.3277733136709,230.0740136548731,226.787015587786,223.05798109901795
224.81999562124696,228.9867359841696,225.31818345436713,222.2436442502879
224.79503351183743,229.0178726563941,225.37699315550643,221.9295326311526
224.369941359903,228.54965201601308,224.63704845096962,221.50310234984374
224.21633316963667,228.10983602824436,224.5361468832531,221.35815694520247
223.59862228540544,227.7178715443429,224.3646599752226,221.25346333763434
223.2987731597112,227.45169357822923,223.93450308662395,220.61416653398936
223.00026793049332,227.26603761822446,223.58588325699324,220.1831051851464
222.75980702224882,226.87774216962802,223.21161593274456,219.93270863752463
222.4647937355083,226.68297183204072,222.91467241918082,219.6166359552317
222.17037631957675,226.32412618766256,222.61201250384272,219.33542713366006
221.94807093127054,226.13025412338948,222.56391843323226,219.25601809479912
221.73184015127853,225.91258421788802,222.25902285868844,219.00639365470784
221.4859345399379,225.66360715272944,221.9986321200933,218.67219519313647
221.1960314114338,225.35849291466093,221.74894769160971,218.45540437282762
220.94838643617413,225.10823199858007,221.4307995589767,218.12321956292806
220.6065294702064,224.80085315399722,221.19389610184805,217.87100170710704
220.32687002754685,224.49611925517635,220.8653014286329,217.57219251221937
220.10837302736394,224.27899053503026,220.63049738428012,217.34430608830098
219.86217673604725,224.0183072115342,220.36806788240517,217.09065665135014
219.6052715430714,223.75704964880418,220.13576946325065,216.85337070967955
219.38468315938263,223.52199245493557,219.8951449961489,216.62616633805214
219.113183702141,223.26436390310644,219.65414992757258,216.3668888886305
